Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Risk,Purpose
67,male,skilled,own,little,little,1169,6,0,radio/TV
22,female,skilled,own,little,moderate,5951,48,1,radio/TV
49,male,unskilled_and_non-resident,own,little,little,2096,12,0,education
45,male,skilled,free,little,little,7882,42,0,furniture/equipment
53,male,skilled,free,little,little,4870,24,1,car
35,male,unskilled_and_non-resident,free,little,moderate,9055,36,0,education
53,male,skilled,own,quite rich,moderate,2835,24,0,furniture/equipment
35,male,highly skilled,rent,little,moderate,6948,36,0,car
61,male,unskilled_and_non-resident,own,rich,moderate,3059,12,0,radio/TV
28,male,highly skilled,own,little,moderate,5234,30,1,car
25,female,skilled,rent,little,moderate,1295,12,1,car
24,female,skilled,rent,little,little,4308,48,1,business
22,female,skilled,own,little,moderate,1567,12,0,radio/TV
60,male,unskilled_and_non-resident,own,little,little,1199,24,1,car
28,female,skilled,rent,little,little,1403,15,0,car
32,female,unskilled_and_non-resident,own,moderate,little,1282,24,1,radio/TV
53,male,skilled,own,little,moderate,2424,24,0,radio/TV
25,male,skilled,own,little,little,8072,30,0,business
44,female,highly skilled,free,little,moderate,12579,24,1,car
31,male,skilled,own,quite rich,moderate,3430,24,0,radio/TV
48,male,skilled,own,little,little,2134,9,0,car
44,male,skilled,rent,quite rich,little,2647,6,0,radio/TV
48,male,unskilled_and_non-resident,rent,little,little,2241,10,0,car
44,male,skilled,own,moderate,moderate,1804,12,0,car
26,male,skilled,own,little,moderate,2069,10,0,furniture/equipment
36,male,unskilled_and_non-resident,own,little,little,1374,6,0,furniture/equipment
39,male,unskilled_and_non-resident,own,little,little,426,6,0,radio/TV
42,female,skilled,rent,rich,rich,409,12,0,radio/TV
34,male,skilled,own,little,moderate,2415,7,0,radio/TV
63,male,skilled,own,little,little,6836,60,1,business
36,male,skilled,own,rich,moderate,1913,18,0,business
27,male,skilled,own,little,little,4020,24,0,furniture/equipment
30,male,skilled,own,moderate,moderate,5866,18,0,car
57,male,unskilled_and_non-resident,rent,little,moderate,1264,12,0,business
33,female,highly skilled,own,little,rich,1474,12,0,furniture/equipment
25,male,unskilled_and_non-resident,own,little,moderate,4746,45,1,radio/TV
31,male,skilled,free,little,little,6110,48,0,education
37,male,skilled,own,little,rich,2100,18,1,radio/TV
37,male,skilled,own,little,rich,1225,10,0,domestic appliances
24,male,skilled,own,little,moderate,458,9,0,radio/TV
30,male,highly skilled,own,quite rich,moderate,2333,30,0,radio/TV
26,male,skilled,own,quite rich,moderate,1158,12,0,radio/TV
44,male,unskilled_and_non-resident,own,little,moderate,6204,18,0,repairs
24,male,skilled,rent,moderate,little,6187,30,0,car
58,female,unskilled_and_non-resident,free,little,little,6143,48,1,car
35,female,highly skilled,own,little,little,1393,11,0,car
39,male,skilled,own,quite rich,moderate,2299,36,0,radio/TV
23,female,unskilled_and_non-resident,rent,quite rich,little,1352,6,0,car
39,male,unskilled_and_non-resident,own,little,little,7228,11,0,car
28,female,skilled,own,moderate,moderate,2073,12,0,radio/TV
29,male,unskilled_and_non-resident,own,little,moderate,2333,24,0,furniture/equipment
30,male,highly skilled,own,little,moderate,5965,27,0,car
25,male,skilled,own,little,little,1262,12,0,radio/TV
31,male,skilled,own,little,moderate,3378,18,0,car
57,male,skilled,free,little,moderate,2225,36,1,car
26,male,unskilled_and_non-resident,own,little,moderate,783,6,0,car
52,male,highly skilled,own,little,moderate,6468,12,1,radio/TV
31,female,skilled,own,little,little,9566,36,0,radio/TV
23,female,highly skilled,own,little,rich,1961,18,0,car
23,female,unskilled_and_non-resident,rent,little,little,6229,36,1,furniture/equipment
27,male,skilled,own,little,moderate,1391,9,0,business
50,male,skilled,own,little,moderate,1537,15,0,radio/TV
61,male,highly skilled,free,little,moderate,1953,36,1,business
25,male,skilled,own,little,moderate,14421,48,1,business
26,female,skilled,own,little,little,3181,24,0,radio/TV
48,male,skilled,own,little,moderate,5190,27,0,repairs
29,female,skilled,own,little,little,2171,12,0,radio/TV
22,male,skilled,own,rich,moderate,1007,12,0,car
37,male,skilled,free,little,little,1819,36,1,education
25,female,skilled,own,little,moderate,2394,36,0,radio/TV
30,female,skilled,own,little,little,8133,36,0,car
46,male,unskilled_and_non-resident,rent,little,moderate,730,7,0,radio/TV
51,male,highly skilled,free,little,little,1164,8,0,vacation/others
41,female,unskilled_and_non-resident,own,little,moderate,5954,42,0,business
40,male,highly skilled,own,little,little,1977,36,1,education
66,male,highly skilled,free,little,little,1526,12,0,car
34,male,skilled,own,little,little,3965,42,1,radio/TV
51,male,skilled,own,little,moderate,4771,11,0,radio/TV
39,male,unskilled_and_non-resident,own,little,moderate,9436,54,0,car
22,male,skilled,own,little,moderate,3832,30,0,furniture/equipment
44,female,skilled,own,little,moderate,5943,24,1,radio/TV
47,male,skilled,own,quite rich,moderate,1213,15,0,radio/TV
24,female,unskilled_and_non-resident,rent,moderate,moderate,1568,18,0,business
58,female,unskilled_and_non-resident,own,little,little,1755,24,0,vacation/others
52,male,unskilled_and_non-resident,own,little,little,2315,10,0,radio/TV
29,female,highly skilled,own,little,little,1412,12,0,business
27,female,skilled,own,little,moderate,1295,18,0,furniture/equipment
47,male,skilled,free,moderate,moderate,12612,36,1,education
30,male,highly skilled,own,moderate,little,2249,18,0,car
28,male,skilled,own,little,little,1108,12,1,repairs
56,male,skilled,own,little,little,618,12,0,radio/TV
54,male,skilled,own,little,little,1409,12,0,car
33,female,unskilled_and_non-resident,own,little,moderate,797,12,1,radio/TV
20,male,skilled,rent,little,rich,3617,24,0,furniture/equipment
54,male,skilled,own,rich,moderate,1318,12,0,car
58,male,skilled,rent,little,moderate,15945,54,1,business
61,female,skilled,own,little,moderate,2012,12,0,education
34,male,skilled,own,moderate,moderate,2622,18,0,business
36,male,skilled,own,little,moderate,2337,36,0,radio/TV
36,male,highly skilled,rent,little,moderate,7057,20,0,car
41,male,unskilled_and_non-resident,rent,moderate,moderate,1469,24,0,car
24,male,skilled,rent,little,moderate,2323,36,0,radio/TV
24,female,skilled,own,little,little,932,6,0,radio/TV
35,male,skilled,rent,little,moderate,1919,9,0,furniture/equipment
26,male,skilled,rent,little,moderate,2445,12,0,car
39,male,highly skilled,own,little,moderate,11938,24,1,vacation/others
39,male,highly skilled,own,little,little,6458,18,1,car
32,male,skilled,own,little,moderate,6078,12,0,car
30,female,skilled,own,little,little,7721,24,0,furniture/equipment
35,male,skilled,own,quite rich,moderate,1410,14,0,business
31,male,skilled,own,moderate,moderate,1449,6,0,business
23,female,skilled,rent,little,rich,392,15,0,education
28,male,unskilled_and_non-resident,rent,little,moderate,6260,18,0,car
25,female,skilled,own,little,little,7855,36,1,car
35,male,skilled,own,quite rich,little,1680,12,0,radio/TV
47,male,skilled,own,little,moderate,3578,48,0,radio/TV
30,female,highly skilled,own,little,little,7174,42,1,radio/TV
27,female,skilled,rent,little,little,2132,10,0,furniture/equipment
23,female,skilled,own,quite rich,little,4281,33,1,furniture/equipment
36,male,highly skilled,own,quite rich,moderate,2366,12,0,car
25,female,skilled,own,little,little,1835,21,1,radio/TV
41,female,highly skilled,rent,little,little,3868,24,0,car
24,male,unskilled_and_non-resident,rent,little,little,1768,12,0,furniture/equipment
63,male,skilled,free,little,rich,781,10,0,car
27,female,skilled,rent,little,moderate,1924,18,1,furniture/equipment
30,male,skilled,own,little,little,2121,12,0,car
40,male,unskilled_and_non-resident,own,little,little,701,12,0,radio/TV
30,male,skilled,own,little,moderate,639,12,1,repairs
34,male,highly skilled,own,little,moderate,1860,12,0,car
29,female,skilled,own,little,little,3499,12,1,car
24,female,skilled,own,little,moderate,8487,48,0,car
29,male,skilled,own,little,little,6887,36,1,education
27,male,unskilled_and_non-resident,own,little,little,2708,15,0,furniture/equipment
47,male,skilled,free,little,little,1984,18,0,furniture/equipment
21,female,skilled,own,moderate,moderate,10144,60,0,radio/TV
38,female,skilled,own,little,moderate,1240,12,0,radio/TV
27,male,skilled,own,rich,moderate,8613,27,0,car
66,male,unskilled_and_non-resident,own,quite rich,moderate,766,12,1,radio/TV
35,male,skilled,own,little,moderate,2728,15,0,radio/TV
44,female,unskilled_and_non-resident,rent,little,rich,1881,12,0,radio/TV
27,male,unskilled_and_non-resident,own,rich,rich,709,6,0,car
30,female,highly skilled,own,little,moderate,4795,36,0,radio/TV
27,male,highly skilled,own,little,little,3416,27,0,radio/TV
22,male,skilled,own,little,little,2462,18,1,furniture/equipment
23,female,skilled,own,little,little,2288,21,0,furniture/equipment
30,male,skilled,own,moderate,moderate,3566,48,0,business
39,female,skilled,own,little,little,860,6,0,car
51,female,skilled,own,moderate,moderate,682,12,0,car
28,male,skilled,own,little,little,5371,36,0,furniture/equipment
46,male,skilled,own,rich,moderate,1582,18,0,radio/TV
42,male,skilled,free,moderate,moderate,1346,6,0,radio/TV
38,male,skilled,own,little,little,1924,10,0,radio/TV
24,male,skilled,own,little,rich,5848,36,0,radio/TV
29,female,skilled,rent,rich,moderate,7758,24,0,car
36,male,highly skilled,rent,moderate,moderate,6967,24,0,business
20,female,skilled,rent,little,little,1282,12,1,furniture/equipment
48,male,skilled,own,moderate,little,1288,9,0,repairs
45,male,unskilled_and_non-resident,own,little,little,339,12,0,education
38,male,skilled,own,moderate,moderate,3512,24,0,car
34,male,unskilled_and_non-resident,own,little,moderate,1898,6,0,radio/TV
36,male,skilled,own,moderate,moderate,2872,24,0,radio/TV
30,female,skilled,own,little,little,1055,18,0,car
36,male,skilled,own,quite rich,moderate,1262,15,0,domestic appliances
70,male,highly skilled,free,little,moderate,7308,10,0,car
36,male,skilled,own,quite rich,moderate,909,36,0,car
32,male,skilled,own,quite rich,moderate,2978,6,0,furniture/equipment
33,female,skilled,own,little,little,1131,18,1,furniture/equipment
20,female,skilled,own,rich,moderate,1577,11,0,furniture/equipment
25,female,skilled,rent,little,little,3972,24,0,furniture/equipment
31,male,skilled,own,little,moderate,1935,24,1,business
33,male,skilled,rent,little,little,950,15,1,car
26,female,skilled,own,little,little,763,12,0,furniture/equipment
34,female,highly skilled,own,little,moderate,2064,24,1,furniture/equipment
33,male,skilled,own,little,moderate,1414,8,0,radio/TV
26,male,skilled,own,little,little,3414,21,1,education
53,female,highly skilled,own,little,moderate,7485,30,1,car
42,male,skilled,own,little,little,2577,12,0,furniture/equipment
52,male,skilled,own,quite rich,little,338,6,0,radio/TV
31,male,highly skilled,rent,little,little,1963,12,0,radio/TV
65,male,skilled,own,little,little,571,21,0,car
28,male,skilled,own,little,little,9572,36,1,business
30,male,highly skilled,own,little,moderate,4455,36,1,business
40,male,unskilled_and_non-resident,own,little,little,1647,21,1,car
50,male,skilled,own,rich,moderate,3777,24,0,furniture/equipment
36,male,skilled,own,little,moderate,884,18,1,car
31,male,skilled,own,little,little,1360,15,0,radio/TV
74,female,highly skilled,free,little,moderate,5129,9,1,car
68,male,unskilled_and_non-resident,free,little,moderate,1175,16,0,car
20,male,skilled,own,moderate,little,674,12,1,radio/TV
33,female,skilled,own,little,moderate,3244,18,0,furniture/equipment
54,male,highly skilled,own,rich,moderate,4591,24,1,business
34,male,unskilled_and_non-resident,free,moderate,moderate,3844,48,1,business
36,male,skilled,own,little,moderate,3915,27,1,business
29,male,skilled,rent,little,little,2108,6,0,radio/TV
21,male,skilled,rent,moderate,moderate,3031,45,1,radio/TV
34,female,highly skilled,own,little,moderate,1501,9,1,education
28,female,skilled,own,little,little,1382,6,0,radio/TV
27,female,skilled,rent,moderate,moderate,951,12,1,furniture/equipment
36,male,skilled,free,little,moderate,2760,24,0,car
40,male,highly skilled,own,little,moderate,4297,18,1,furniture/equipment
52,male,skilled,own,quite rich,moderate,936,9,0,education
27,male,unskilled_and_non-resident,own,little,little,1168,12,0,car
26,male,skilled,own,little,little,5117,27,0,business
21,male,skilled,rent,little,little,902,12,1,education
38,male,unskilled_and_non-resident,own,little,little,1495,12,0,car
38,male,highly skilled,free,little,little,10623,30,0,car
43,male,skilled,own,little,little,1935,12,0,furniture/equipment
26,male,skilled,own,little,moderate,1424,12,0,domestic appliances
21,male,unskilled_and_non-resident,own,little,little,6568,24,0,business
55,male,skilled,own,rich,moderate,1413,12,0,car
33,male,skilled,own,little,moderate,3074,9,0,radio/TV
45,female,unskilled_and_non-resident,own,little,moderate,3835,36,0,radio/TV
50,male,skilled,own,little,little,5293,27,1,business
66,male,highly skilled,own,little,rich,1908,30,1,business
51,male,skilled,own,little,moderate,3342,36,0,radio/TV
39,female,unskilled_and_non-resident,own,little,moderate,932,6,0,education
31,male,skilled,own,little,little,3104,18,0,business
23,male,skilled,own,little,rich,3913,36,0,radio/TV
24,male,unskilled_and_non-resident,rent,little,little,3021,24,0,furniture/equipment
64,female,skilled,own,little,little,1364,10,0,car
26,male,unskilled_and_non-resident,own,little,moderate,625,12,0,radio/TV
23,female,skilled,rent,little,little,1200,12,0,education
30,male,skilled,own,little,little,707,12,0,radio/TV
32,male,skilled,own,little,moderate,2978,24,0,business
30,male,skilled,own,little,little,4657,15,0,car
27,male,skilled,own,little,little,2613,36,0,repairs
27,male,skilled,own,rich,moderate,10961,48,1,radio/TV
53,male,highly skilled,free,little,little,7865,12,1,furniture/equipment
22,male,skilled,own,little,little,1478,9,1,radio/TV
22,male,skilled,free,little,little,3149,24,0,furniture/equipment
26,male,skilled,own,little,rich,4210,36,1,radio/TV
51,male,unskilled_and_non-resident,free,quite rich,moderate,2507,9,0,car
35,male,skilled,own,moderate,moderate,2141,12,0,radio/TV
25,male,unskilled_and_non-resident,own,little,moderate,866,18,0,radio/TV
42,male,unskilled_and_non-resident,own,little,little,1544,4,0,radio/TV
30,male,highly skilled,own,little,little,1823,24,1,radio/TV
23,male,unskilled_and_non-resident,own,little,moderate,14555,6,1,car
61,male,unskilled_and_non-resident,rent,moderate,moderate,2767,21,1,business
35,female,skilled,own,little,little,1291,12,0,radio/TV
39,male,skilled,own,little,little,2522,30,0,radio/TV
29,female,skilled,own,little,little,915,24,1,car
51,male,skilled,own,little,little,1595,6,0,radio/TV
24,male,skilled,free,little,little,4605,48,1,car
27,female,skilled,own,little,little,1185,12,0,business
35,female,unskilled_and_non-resident,own,quite rich,moderate,3447,12,0,education
25,male,skilled,own,little,little,1258,24,0,business
52,male,skilled,own,little,little,717,12,0,radio/TV
35,male,skilled,rent,moderate,moderate,1204,6,0,car
26,male,skilled,own,little,rich,1925,24,0,furniture/equipment
22,female,skilled,rent,little,little,433,18,1,radio/TV
39,female,unskilled_and_non-resident,own,rich,little,666,6,0,car
46,female,unskilled_and_non-resident,own,little,rich,2251,12,0,furniture/equipment
24,female,skilled,own,little,moderate,2150,30,1,car
35,male,skilled,own,moderate,moderate,4151,24,0,furniture/equipment
24,male,skilled,own,little,moderate,2030,9,0,furniture/equipment
27,male,unskilled_and_non-resident,own,little,moderate,7418,60,0,radio/TV
35,male,unskilled_and_non-resident,own,little,little,2684,24,0,radio/TV
29,male,skilled,free,little,little,2149,12,1,radio/TV
23,female,skilled,own,moderate,moderate,3812,15,0,car
57,female,unskilled_and_non-resident,own,moderate,moderate,1154,11,0,radio/TV
27,male,skilled,own,little,little,1657,12,0,furniture/equipment
55,female,skilled,own,little,little,1603,24,0,radio/TV
36,male,highly skilled,free,little,little,5302,18,0,car
57,female,unskilled_and_non-resident,free,little,little,2748,12,0,education
32,male,unskilled_and_non-resident,own,little,little,1231,10,0,car
37,male,skilled,own,little,moderate,802,15,1,radio/TV
36,male,skilled,own,little,moderate,6304,36,0,business
38,female,skilled,own,little,little,1533,24,0,radio/TV
45,male,highly skilled,own,little,little,8978,14,1,car
25,male,skilled,own,little,moderate,999,24,0,radio/TV
32,male,skilled,own,little,moderate,2662,18,0,car
37,female,skilled,rent,quite rich,moderate,1402,12,0,furniture/equipment
36,male,highly skilled,free,little,moderate,12169,48,0,car
28,male,skilled,own,little,moderate,3060,48,1,radio/TV
34,male,unskilled_and_non-resident,own,little,little,11998,30,1,repairs
32,male,skilled,own,little,little,2697,9,0,radio/TV
26,female,skilled,own,little,little,2404,18,0,radio/TV
49,male,unskilled_and_non-resident,own,little,little,1262,12,0,furniture/equipment
32,female,skilled,own,little,little,4611,6,1,furniture/equipment
29,male,highly skilled,rent,moderate,moderate,1901,24,0,radio/TV
23,male,skilled,rent,rich,moderate,3368,15,0,car
50,male,skilled,own,little,little,1574,12,0,furniture/equipment
49,male,unskilled_and_non-resident,own,little,rich,1445,18,0,radio/TV
63,male,skilled,own,little,moderate,1520,15,0,furniture/equipment
37,male,skilled,own,moderate,moderate,3878,24,0,car
35,female,unskilled_and_non-resident,own,little,little,10722,47,0,car
26,male,skilled,own,little,little,4788,48,0,car
31,male,highly skilled,free,moderate,moderate,7582,48,0,vacation/others
49,female,skilled,own,little,moderate,1092,12,0,radio/TV
48,male,skilled,own,little,little,1024,24,1,radio/TV
26,male,skilled,own,little,little,1076,12,0,business
28,male,highly skilled,rent,little,moderate,9398,36,1,car
44,female,highly skilled,free,little,little,6419,24,0,car
56,male,skilled,free,little,rich,4796,42,0,car
46,male,highly skilled,own,little,moderate,7629,48,0,business
26,female,skilled,own,little,moderate,9960,48,1,furniture/equipment
20,female,skilled,rent,little,moderate,4675,12,0,car
45,male,unskilled_and_non-resident,own,little,moderate,1287,10,0,car
43,male,skilled,own,little,little,2515,18,0,furniture/equipment
32,male,skilled,own,rich,moderate,2745,21,0,furniture/equipment
54,female,unskilled_and_non-resident,own,little,little,672,6,0,car
42,female,skilled,own,little,moderate,3804,36,1,radio/TV
37,male,unskilled_and_non-resident,own,little,rich,1344,24,1,car
49,male,skilled,own,little,little,1038,10,0,car
44,male,skilled,free,quite rich,moderate,10127,48,1,car
33,male,skilled,own,rich,moderate,1543,6,0,furniture/equipment
24,female,unskilled_and_non-resident,rent,little,moderate,4811,30,0,car
33,male,unskilled_and_non-resident,own,moderate,little,727,12,1,radio/TV
24,female,skilled,own,little,moderate,1237,8,1,furniture/equipment
22,male,unskilled_and_non-resident,rent,little,moderate,276,9,0,car
40,male,unskilled_and_non-resident,free,little,moderate,5381,48,0,vacation/others
25,male,skilled,own,moderate,moderate,5511,24,0,furniture/equipment
26,female,skilled,own,little,rich,3749,24,0,furniture/equipment
25,male,unskilled_and_non-resident,own,little,moderate,685,12,1,car
29,male,unskilled_and_non-resident,own,little,rich,1494,4,0,car
31,male,skilled,own,little,little,2746,36,1,furniture/equipment
38,male,unskilled_and_non-resident,own,little,little,708,12,0,furniture/equipment
48,female,unskilled_and_non-resident,own,little,moderate,4351,24,0,furniture/equipment
32,male,skilled,own,little,little,701,12,0,education
27,female,unskilled_and_non-resident,own,little,little,3643,15,0,furniture/equipment
28,male,highly skilled,own,little,moderate,4249,30,1,car
32,male,skilled,own,little,little,1938,24,1,radio/TV
34,male,highly skilled,free,little,little,2910,24,0,car
28,male,skilled,own,rich,little,2659,18,0,furniture/equipment
36,female,skilled,own,little,little,1028,18,0,car
39,male,unskilled_and_non-resident,own,little,little,3398,8,0,car
49,male,skilled,rent,little,moderate,5801,12,0,furniture/equipment
34,female,skilled,own,rich,moderate,1525,24,0,car
31,male,skilled,own,little,rich,4473,36,0,radio/TV
28,male,skilled,own,little,moderate,1068,6,0,radio/TV
75,male,highly skilled,free,little,little,6615,24,0,car
